School	Conference	Coach	SchoolPay	TotalPay	Bonus	BonusPaid	AssistantPay	Buyout
Stanford	Pac-12	David Shaw	4311543	4311543	0	0	0	0
Syracuse	ACC	Dino Babers	2401206	2401206	0	0	0	0
Tennessee	SEC	Jeremy Pruitt	3846000	3846000	1200000	0	0	11780000
Texas	Big 12	Tom Herman	5500000	5500000	725000	75000	0	15416667
Texas A&M	SEC	Jimbo Fisher	7500000	7500000	1350000	0	0	68125000
Texas Christian	Big 12	Gary Patterson	4840717	4840717	0	0	0	0
Texas State	Sun Belt	Everett Withers	700000	700000	70833	0	0	773958
Texas Tech	Big 12	Kliff Kingsbury	3703975	3703975	1500000	25000	0	4231250
Texas-El Paso	C-USA	Dana Dimel	700000	700000	741665	0	0	2991667
Texas-San Antonio	C-USA	Frank Wilson	1100000	1100000	185000	17500	0	3562500
Toledo	MAC	Jason Candle	1125000	1125000	585000	210000	0	3558333
Troy	Sun Belt	Neal Brown	810000	810000	490000	100000	0	2911667
Tulane	AAC	Willie Fritz	1629000	1629000	0	0	0	0
Tulsa	AAC	Philip Montgomery	1518177	1518177	0	0	0	0
UCLA	Pac-12	Chip Kelly	3300000	3300000	1085000	0	0	9000000
Utah	Pac-12	Kyle Whittingham	3787917	3787917	935000	279167	0	9250000
Utah State	Mt. West	Matt Wells	900000	900000	765000	65000	0	2122917
Vanderbilt	SEC	Derek Mason	2812523	2812523	0	0	0	0
Virginia	ACC	Bronco Mendenhall	3550000	3550000	2165000	75000	0	18193750
Virginia Tech	ACC	Justin Fuente	4000000	4000000	435000	75000	0	15000000
Wake Forest	ACC	Dave Clawson	1831580	1831580	0	0	0	0
Washington	Pac-12	Chris Petersen	4375000	4377500	1050000	300000	0	26354166
Washington State	Pac-12	Mike Leach	3500000	3500000	725000	75000	0	4900000
West Virginia	Big 12	Dana Holgorsen	3605000	3617500	1000000	90000	0	7150000
Western Kentucky	C-USA	Mike Sanford Jr.	800000	805850	400000	0	0	1200000
Western Michigan	MAC	Tim Lester	800000	800000	346500	39250	0	800000
Wisconsin	Big Ten	Paul Chryst	3750000	3750000	0	290000	0	6000000
Wyoming	Mt. West	Craig Bohl	1412000	1412000	450000	236000	0	8016667
